Mineral Name,Mineral Name (plain),RRUFF Chemistry (concise),Chemistry Elements,RRUFF IDs,Structural Groupname,Crystal Systems,Space Groups,Oldest Known Age (Ma),Paragenetic Modes,Hey Classification ID,Hey Classification Name
Sepiolite,Sepiolite,Mg_4_Si_6_O_15_(OH)_2_·6H_2_O,Mg Si O H,R070311,"Sepiolite, Clay",orthorhombic,Pncn,2749.9,"Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, PM17 - Marine authigenic Hadean minerals, Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM25 - Evaporites (prebiotic), PM31 - Contact metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals, PM49 - Oxic cellular biomineralization",17,Silicates Containing other Anions
Serandite,Serandite,NaMn^2+^_2_Si_3_O_8_(OH),Na Mn Si O H,R040056 R050261,Pectolite,triclinic,P-1|C-1,2500.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Serendibite,Serendibite,Ca_4_(Mg_6_Al_6_)O_4_[Si_6_B_3_Al_3_O_36_],Ca Mg Al O Si B,R070622 R070633 R120069,Sapphirine,triclinic,P-1,1100.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration",17,Silicates Containing other Anions
Sergeevite,Sergeevite,Ca_2_Mg_11_(CO_3_)_9_(HCO_3_)_4_(OH)_4_·6H_2_O,Ca Mg C O H,, ,hexagonal,,542.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",12,Carbonates with other anions
Sergevanite,Sergevanite,Na_15_(Ca_3_Mn^2+^_3_)(Na_2_Fe^2+^)Zr^4+^_3_Si_26_O_72_(OH)_3_·H_2_O,Na Ca Mn Fe Zr Si O H,,Eudialyte,hexagonal,R3,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Sergeysmirnovite,Sergeysmirnovite,MgZn^2+^_2_(PO_4_)_2_·4H_2_O,Mg Zn P O H,,Hopeite,orthorhombic,Pnma,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Serpierite,Serpierite,"Ca(Cu^2+^,Zn^2+^)_4_(S^6+^O_4_)_2_(OH)_6_·3H_2_O",Ca Cu Zn S O H,R060475,Devilline,monoclinic,C2/c,2046.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals, PM56 - Slag and smelter minerals",25,Sulphates
Serrabrancaite,Serrabrancaite,Mn^3+^PO_4_·H_2_O,Mn P O H,R080077,Kieserite,monoclinic,C2/c,950.0,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Sewardite,Sewardite,CaFe^3+^_2_(As^5+^O_4_)_2_(OH)_2_,Ca Fe As O H,R060720 R141206,Carminite,orthorhombic,Cccm,541.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Shabaite-(Nd),Shabaite-(Nd),CaNd_2_(U^6+^O_2_)(CO_3_)_4_(OH)_2_·6H_2_O,Ca Nd U O C H,, ,monoclinic,,900.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",12,Carbonates with other anions
Shabynite,Shabynite,Mg_5_BO_3_(OH)_5_Cl_2_·4H_2_O,Mg B O H Cl,, ,,,180.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration",10,Borates with other anions
Shadlunite,Shadlunite,"(Fe,Cu)_8_(Pb,Cd)S_8_",Fe Cu Pb Cd S,,Pentlandite,cubic,,251.3,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Shafranovskite,Shafranovskite,"Na_3_K_2_(Mn^2+^,Fe^3+^,Na)_4_[Si_9_(O,OH)_27_](OH)_2_·nH_2_O",Na K Mn Fe Si O H,, ,hexagonal,P31c,413.6,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Shagamite,Shagamite,KFe^3+^_11_O_17_,K Fe O,,Magnetoplumbite,hexagonal,P6_3/mmc,,"Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",7,Oxides and Hydroxides
Shakhdaraite-(Y),Shakhdaraite-(Y),ScYNb^5+^_2_O_8_,Sc Y Nb O,,Columbite,monoclinic,P2/c,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",18,Niobates and Tantalates
Shakhovite,Shakhovite,Hg^1+^_4_Sb^5+^O_3_(OH)_3_,Hg Sb O H,, ,monoclinic,Im,354.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM57 - Other minerals formed by human processes",7,Oxides and Hydroxides
Shandite,Shandite,Pb_2_Ni_3_S_2_,Ni Pb S,R070090, ,hexagonal,R-3m,4000.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
