Mineral Name,Mineral Name (plain),RRUFF Chemistry (concise),Chemistry Elements,RRUFF IDs,Structural Groupname,Crystal Systems,Space Groups,Oldest Known Age (Ma),Paragenetic Modes,Hey Classification ID,Hey Classification Name
Macquartite,Macquartite,Cu^2+^_2_Pb^2+^_7_(Cr^6+^O_4_)_4_(SiO_4_)_2_(OH)_2_,Cu Pb Cr O Si H,R210020, ,monoclinic,,22.5,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",17,Silicates Containing other Anions
Macraeite,Macraeite,K(H_2_O)Mn^2+^_2_(Fe^3+^_2_Ti^4+^)(PO_4_)_4_[O(OH)](H_2_O)_10_·4H_2_O,K H O Mn Fe Ti P,,Paulkerrite,monoclinic,P2_1/c,,,0,Unclassified
Madeiraite,Madeiraite,Na_2_Ca_2_Fe^2+^_2_Zr^4+^_2_(Si_2_O_7_)_2_O_2_F_2_,Na Ca Fe Zr Si O F,,Wöhlerite ,monoclinic,P2_1/a,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Madocite,Madocite,"Pb^2+^_19_(Sb^3+^,As^3+^)_16_S^2-^_43_",Pb Sb As S,,Madocite,orthorhombic,,2500.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Magadiite,Magadiite,Na_2_Si_14_O_28_(OH)_2_·8H_2_O,Na Si O H,R060994, ,monoclinic|unknown,C2/m,124.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals, Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Magbasite,Magbasite,KBaFe^3+^Mg_7_Si_8_O_22_(OH)_2_F_6_,K Ba Fe Mg Si O H F,, ,orthorhombic,Cmma,2070.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites",17,Silicates Containing other Anions
Magganasite,Magganasite,Cu^2+^Fe^3+^_3_O(As^5+^O_4_)_3_,Cu Fe O As,,Not in a structural group,triclinic,P-1,,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Maghagendorfite,Maghagendorfite,Na_2_MgFe^2+^Fe^3+^(PO_4_)_3_,Na Mg Fe P O,,Alluaudite,,,1700.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Maghemite,Maghemite,(Fe^3+^_0.67_[box]_0.33_)Fe^3+^_2_O_4_,Fe O,R140712,Spinel,cubic|tetragonal,"Fd3m|P4_32_12, P4_332, Fd-3m, P-43m, P4_132",4620.0,"Abiotic, Biotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3b: Earth's earliest hydrosphere, PM17 - Marine authigenic Hadean minerals, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals, PM49 - Oxic cellular biomineralization, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",7,Oxides and Hydroxides
Maghrebite,Maghrebite,MgAl_2_(As^5+^O_4_)_2_(OH)_2_·8H_2_O,Mg Al As O H,,Laueite,triclinic,P-1,310.4,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Magnanelliite,Magnanelliite,K_3_Fe^3+^_2_(S^6+^O_4_)_4_(OH)(H_2_O)_2_,K Fe S O H,,Alcaparrosaite,monoclinic,C2/c,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
Magnéliite,Magneliite,Ti^3+^_2_Ti^4+^_2_O_7_,Ti O,, ,triclinic,P-1,,"Abiotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates",7,Oxides and Hydroxides
Magnesioalterite,Magnesioalterite,Mg_2_Fe^3+^_4_(S^6+^O_4_)_4_((C_2_)^6+^O_4_)_2_(OH)_4_·17H_2_O,Mg Fe S O C H,R180015,"Alterite, Oxalate",monoclinic,C2/c,,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins",25,Sulphates
Magnesio-arfvedsonite,Magnesio-arfvedsonite,NaNa_2_(Mg_4_Fe^3+^)Si_8_O_22_(OH)_2_,Na Mg Fe Si O H,,Amphibole,monoclinic,C2/m,2500.0,"Abiotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM17 - Marine authigenic Hadean minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites",17,Silicates Containing other Anions
Magnesioaubertite,Magnesioaubertite,MgAl(S^6+^O_4_)_2_Cl·14H_2_O,Mg Al S O Cl H,R060344,Aubertite,triclinic,P-1,64.0,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",26,Sulphates with Halide
Magnesiobeltrandoite-2<i>N</i>3<i>S</i>,Magnesiobeltrandoite-2N3S,(Mg_6_Al_2_)(Al_18_Fe^3+^_2_)O_38_(OH)_2_,Mg Al Fe O H,,Hogbömite,hexagonal,P-3m1,,"Abiotic; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals",7,Oxides and Hydroxides
Magnesiobermanite,Magnesiobermanite,MgMn^3+^_2_(PO_4_)_2_(OH)_2_·4H_2_O,Mg Mn P O H,,Arthurite,monoclinic,P2_1,25.0,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Magnesiocanutite,Magnesiocanutite,Na[box]Mn^2+^Mg_2_[As^5+^O_4_]_2_[As^5+^O_2_(OH)_2_],Na Mn Mg As O H,,Alluaudite,monoclinic,C2/c,174.0,"Abiotic, Secondary; Stage 7: Great Oxidation Event, PM46 - Near-surface hydrothermal alterations",0,Unclassified
Magnesiocarpholite,Magnesiocarpholite,MgAl_2_Si_2_O_6_(OH)_4_,Mg Al Si O H,R140873,Carpholite,orthorhombic,Ccca,296.0,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Magnesiochloritoid,Magnesiochloritoid,MgAl_2_O(SiO_4_)(OH)_2_,Mg Al O Si H,,Chloritoid,monoclinic,C2/c,260.0,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Magnesiochlorophoenicite,Magnesiochlorophoenicite,"Mg_3_Zn^2+^_2_As^5+^O_4_(OH,O)_6_",Mg Zn As O H,R140719,Chlorophoenicite,monoclinic,,1349.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",0,Unclassified
Magnesiochromite,Magnesiochromite,MgCr^3+^_2_O_4_,Mg Cr O,R050399 R060796 R060797,Spinel,cubic,Fd-3m|Fd3m,3100.0,"Abiotic, Biotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",7,Oxides and Hydroxides
Magnesiocopiapite,Magnesiocopiapite,MgFe^3+^_4_(S^6+^O_4_)_6_(OH)_2_·20H_2_O,Mg Fe S O H,R060155,Copiapite,triclinic,P1|P-1,1000.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",25,Sulphates
Magnesiocoulsonite,Magnesiocoulsonite,MgV^3+^_2_O_4_,Mg V O,R070218,Spinel,cubic,Fd3m,481.0,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",7,Oxides and Hydroxides
Magnesiodumortierite,Magnesiodumortierite,MgAl_6_BSi_3_O_17_(OH),Mg Al B Si O H,,Dumortierite,orthorhombic,Pmcn,982.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Magnesio-dutrowite,Magnesio-dutrowite,Na(Mg_2.5_Ti^4+^_0.5_)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,Na Mg Ti Al Si O B H,,Tourmaline,hexagonal,R3m,,,17,Silicates Containing other Anions
Magnesio-ferri-fluoro-hornblende,Magnesio-ferri-fluoro-hornblende,[box]Ca_2_(Mg_4_Fe^3+^)(Si_7_Al)O_22_F_2_,Ca Mg Fe Si Al O F,,Amphibole,monoclinic,C2/m,,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals",17,Silicates Containing other Anions
Magnesio-ferri-hornblende,Magnesio-ferri-hornblende,Ca_2_(Mg_4_Fe^3+^)[(Si_7_Al)O_22_](OH)_2_,Ca Mg Fe Si Al O H,,Amphibole,monoclinic,C2/m,,"Abiotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism",17,Silicates Containing other Anions
Magnesioferrite,Magnesioferrite,MgFe^3+^_2_O_4_,Mg Fe O,R060869 R070127,Spinel,cubic,Fd3m|Fd-3m,2070.0,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, PM51 - Pyrometamorphic minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",7,Oxides and Hydroxides
Magnesiofluckite,Magnesiofluckite,CaMg(As^5+^O_3_OH)_2_(H_2_O)_2_,Ca Mg As O H,,Fluckite,triclinic,P-1,174.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Magnesio-fluoro-arfvedsonite,Magnesio-fluoro-arfvedsonite,NaNa_2_(Mg_4_Fe^3+^)Si_8_O_22_F_2_,Na Mg Fe Si O F,R050515,Amphibole,monoclinic,C2/m,381.5,"Abiotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM17 - Marine authigenic Hadean minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites",17,Silicates Containing other Anions
Magnesio-fluoro-hastingsite,Magnesio-fluoro-hastingsite,NaCa_2_(Mg_4_Fe^3+^)(Si_6_Al_2_)O_22_F_2_,Na Ca Mg Fe Si Al O F,R141082 R141098 R141099,Amphibole,monoclinic,C2/m,1349.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, PM26 - Hadean detrital minerals, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Magnesio-foitite,Magnesio-foitite,[box](Mg_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH,Mg Al Si O B H,,Tourmaline,hexagonal,R3m,1814.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Magnesio-hastingsite,Magnesio-hastingsite,NaCa_2_(Mg_4_Fe^3+^)Si_6_Al_2_O_22_(OH)_2_,Na Ca Mg Fe Si Al O H,R040010 R070145 R070288,Amphibole,monoclinic,C2/m,1898.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, PM10 - Basalt-hosted zeolite minerals, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites",17,Silicates Containing other Anions
Magnesiohatertite,Magnesiohatertite,NaNaCa(MgFe^3+^)(As^5+^O_4_)_3_,Na Ca Mg Fe As O,,Alluaudite,monoclinic,C2/c,3.6e-05,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",0,Unclassified
Magnesiohögbomite-2<i>N</i>2S,Magnesiohogbomite-2N2S,"(Al,Mg,Fe^2+^,Fe^3+^,Ti^4+^)_22_(O,OH)_32_",Mg Fe Al Ti O H,,Hogbömite-Magnesiohogbömite,hexagonal,P6_3mc,,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",7,Oxides and Hydroxides
Magnesiohögbomite-2<i>N</i>3S,Magnesiohogbomite-2N3S,"(Mg,Fe^2+^,Zn^2+^,Ti^4+^)_4_(Al,Fe^3+^)_10_O_19_(OH)",Mg Fe Zn Ti Al O H,,Hogbömite-Magnesiohogbömite,hexagonal,P-3m1,1880.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",7,Oxides and Hydroxides
Magnesiohögbomite-2<i>N</i>4S,Magnesiohogbomite-2N4S,Mg_10_Al_22_Ti^4+^_2_O_46_(OH)_2_,Mg Fe Al Ti O H,,Hogbömite-Magnesiohogbömite,hexagonal,P6_3mc,,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",7,Oxides and Hydroxides
Magnesiohögbomite-6<i>N</i>12<i>S</i>,Magnesiohogbomite-6N12S,Mg_5_Al_11_Ti^4+^O_23_(OH),Mg Al Ti O H,,Hogbömite-Magnesiohogbömite,hexagonal,R3m,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites",7,Oxides and Hydroxides
Magnesiohögbomite-6<i>N</i>6S,Magnesiohogbomite-6N6S,"(Mg,Al,Fe^2+^,Fe^3+^)_3_(Al,Ti^4+^)_8_O_15_(OH)",Mg Al Fe Ti O H,,Hogbömite-Magnesiohogbömite,hexagonal,R-3m,,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",7,Oxides and Hydroxides
Magnesio-hornblende,Magnesio-hornblende,[box]Ca_2_(Mg_4_Al)(Si_7_Al)O_22_(OH)_2_,Ca Mg Al Si O H,,Amphibole,monoclinic,C2/m,2639.0,"Abiotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM8 - Mafic igneous rocks, PM10 - Basalt-hosted zeolite minerals, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, PM22 - Near-surface hydration, PM26 - Hadean detrital minerals, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Magnesiohulsite,Magnesiohulsite,Mg_2_Fe^3+^O_2_(BO_3_),Mg Fe O B,R070223,Hulsite,monoclinic,P2/m,,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration",9,Borates
Magnesiokoritnigite,Magnesiokoritnigite,Mg(As^5+^O_3_OH)·H_2_O,Mg As O H,R150002,Koritnigite,triclinic,P-1,174.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Magnesioleydetite,Magnesioleydetite,Mg(U^6+^O_2_)(S^6+^O_4_)_2_·11H_2_O,Mg U O S H,,Leydetite,monoclinic,C2/c,0.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
Magnesio-lucchesiite,Magnesio-lucchesiite,CaMg_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,Ca Mg Al Si O B H,,Tourmaline,hexagonal,R3m,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks",17,Silicates Containing other Anions
Magnesioneptunite,Magnesioneptunite,KNa_2_LiMg_2_Ti^4+^_2_Si_8_O_24_,K Na Li Mg Fe Ti Si O,,Neptunite,monoclinic,C2/c,3.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",14,Silicates not Containing Aluminum
Magnesionigerite-2<i>N</i>1S,Magnesionigerite-2N1S,"(Mg,Al,Zn^2+^)_2_(Al,Sn^4+^)_6_O_11_(OH)",Mg Al Zn Sn O H,,Hogbömite-Nigerite,hexagonal,P-3m1,,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",7,Oxides and Hydroxides
Magnesionigerite-6<i>N</i>6S,Magnesionigerite-6N6S,"(Mg,Al,Zn^2+^)_3_(Al,Sn^4+^,Fe^3+^,Fe^2+^)_8_O_15_(OH)",Mg Al Zn Sn Fe O H,,Hogbömite-Nigerite,hexagonal,R3m,160.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",7,Oxides and Hydroxides
Magnesiopascoite,Magnesiopascoite,Ca_2_Mg[V^5+^_10_O_28_]·16H_2_O,Ca Mg V O H,,Pascoite,monoclinic,C2/m,0.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",0,Unclassified
Magnesioqingheiite,Magnesioqingheiite,Na_2_Mg(MgAl)(PO_4_)_3_,Na Mg Al P O,,Alluaudite,monoclinic,P2_1/n,,,0,Unclassified
Magnesio-riebeckite,Magnesio-riebeckite,[box]Na_2_(Mg_3_Fe^3+^_2_)Si_8_O_22_(OH)_2_,Na Mg Fe Si O H,R060037 R070002,Amphibole,monoclinic,,2070.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Magnesiorowlandite-(Y),Magnesiorowlandite-(Y),"Y_4_(Mg,Fe^2+^)(Si_2_O_7_)_2_F_2_",Y Mg Fe Si O F,,Rowlandite,,,1788.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Magnesiostaurolite,Magnesiostaurolite,"Mg(Mg,Li)_3_(Al,Mg)_18_Si_8_O_44_(OH)_4_",Mg Li Al Si O H,,Staurolite,monoclinic,C2/m,453.8,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism",17,Silicates Containing other Anions
Magnesiotaaffeite-2<i>N</i>'2S,Magnesiotaaffeite-2N2S,Mg_3_BeAl_8_O_16_,Mg Be Al O,R070555 RS739661 R090035,Taaffeite-Magnesiotaaffeite,hexagonal,P6_3mc,1825.0,"Abiotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",0,Unclassified
Magnesiotaaffeite-6<i>N</i>'3S,Magnesiotaaffeite-6N3S,Mg_2_BeAl_6_O_12_,Mg Be Al O,R090019,Taaffeite-Magnesiotaaffeite,hexagonal,R-3m,2485.0,"Abiotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",0,Unclassified
Magnesiovesuvianite,Magnesiovesuvianite,Ca_19_Mg(Al_11_Mg)Si_18_O_69_(OH)_9_,Ca Mg Al Si O H,,Vesuvianite,tetragonal,P4/n,201.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization",17,Silicates Containing other Anions
Magnesiovoltaite,Magnesiovoltaite,K_2_Mg_5_Fe^3+^_3_Al(S^6+^O_4_)_12_·18H_2_O,K Mg Fe Al S O H,,Voltaite,cubic,Fd3c,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
Magnesiozippeite,Magnesiozippeite,Mg(U^6+^O_2_)_2_(S^6+^O_4_)O_2_·3.5H_2_O,Mg U O S H,,Zippeite,monoclinic,C2/m|P2_1/c,0.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",25,Sulphates
Magnesite,Magnesite,MgCO_3_,Mg C O,R040114 R050443 R050676,Calcite,hexagonal,R-3c|R-3,3640.0,"Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM25 - Evaporites (prebiotic), PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 6: Anoxic biosphere, PM44 - Anoxic microbially-mediated minerals, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization",7,Oxides and Hydroxides
Magnetite,Magnetite,Fe^2+^Fe^3+^_2_O_4_,Fe O,R060191 R060222 R060656 R061111 R080025 R140861,Spinel,cubic,"Fd3m|F-43m, Fd-3m",4700.0,"Abiotic, Biotic, Primary, Secondary; Stage 0: Pre-terrestrial Ur-minerals, PM1 - Stellar atmosphere condensates, Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM15 - Black smokers, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, PM21 - Chemical precipitation, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM40 - Regional metamorphism, Stage 6: Anoxic biosphere, PM44 - Anoxic microbially-mediated minerals, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization",7,Oxides and Hydroxides
Magnetoplumbite,Magnetoplumbite,Pb^2+^Fe^3+^_12_O_19_,Pb Fe O,R060074,Magnetoplumbite,hexagonal,P6_3/mmc,1890.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",7,Oxides and Hydroxides
Magnioursilite,Magnioursilite,Mg_4_(U^6+^O_2_)_4_(Si_2_O_5_)_5_(OH)_6_·20H_2_O,Mg U O Si H,,Ursilite,orthorhombic,,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",17,Silicates Containing other Anions
Magnolite,Magnolite,Hg^1+^_2_Te^4+^O_3_,Hg Te O,, ,orthorhombic,Pbm2,65.5,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Magnussonite,Magnussonite,"Mn^2+^_5_As^3+^_3_O_9_(OH,Cl)",Mn As O H Cl,R100027,Magnussonite,cubic,Ia-3d,1898.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Mahnertite,Mahnertite,"(Na,Ca,K)Cu^2+^_3_(As^5+^O_4_)_2_Cl·5H_2_O",Na Ca K Cu As O Cl H,, ,tetragonal,I4/mmm,225.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Maikainite,Maikainite,Cu^1+^_10_Fe^2+^_3_Mo^4+^Ge^4+^_3_S^2-^_16_,Cu Fe Mo Ge S,,"Sphalerite, Germanite",cubic,,541.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Majakite,Majakite,PdNiAs,Pd Ni As,, ,hexagonal,P-62c,2490.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations",0,Unclassified
Majindeite,Majindeite,Mg_2_Mo^4+^_3_O_8_,Mg Mo O,,Nolanite,hexagonal,P6_3mc,4567.61,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases",7,Oxides and Hydroxides
